qacc	Freq	Species
ASV645	486	Bacillus_megaterium
ASV646	544	Enterococcus_faecium
ASV647	142	Capnocytophaga_canimorsus
ASV648	288	Brucella_melitensis
ASV649	133	Porphyromonas_levii
ASV650	472	Cronobacter_sakazakii
ASV651	75	Kocuria_palustris
ASV652	975	Salmonella_enterica
ASV653	130	Corynebacterium_pseudotuberculosis
ASV654	456	Salmonella_enterica
ASV655	110	Curtobacterium_flaccumfaciens
ASV656	379	Lysinibacillus_sphaericus
ASV657	181	Bacillus_licheniformis
ASV658	284	Pseudomonas_fluorescens
ASV659	623	Bacillus_megaterium
ASV660	97	Ornithobacterium_rhinotracheale
ASV661	387	Lactobacillus_plantarum
ASV662	473	Stenotrophomonas_maltophilia
ASV663	269	Clostridium_botulinum
ASV664	721	Acinetobacter_baumannii
ASV665	363	Lactobacillus_brevis
ASV666	286	Paenibacillus_polymyxa
ASV667	693	Bacillus_licheniformis
ASV668	853	Lactobacillus_plantarum
ASV669	175	Curtobacterium_flaccumfaciens
ASV670	355	Lysinibacillus_sphaericus
ASV671	240	Pseudomonas_fluorescens
ASV672	797	Klebsiella_pneumoniae
ASV673	540	Enterococcus_faecium
ASV674	204	Acetobacter_pasteurianus
ASV675	149	Salmonella_enterica
ASV676	379	Lactobacillus_brevis
ASV677	502	Lactobacillus_brevis
ASV678	742	Lactobacillus_plantarum
ASV679	322	Achromobacter_xylosoxidans
ASV680	403	Lactobacillus_casei
ASV681	376	Achromobacter_xylosoxidans
ASV682	323	Lysinibacillus_fusiformis
ASV683	142	Capnocytophaga_canimorsus
ASV684	911	Lactobacillus_plantarum
ASV685	907	Lactobacillus_plantarum
ASV686	175	Porphyromonas_levii
ASV687	417	Ensifer_meliloti
ASV688	400	Lactobacillus_casei
ASV689	230	Salmonella_enterica
ASV690	285	Enterococcus_faecium
ASV691	276	Weissella_cibaria
ASV692	363	Lactobacillus_casei
ASV693	606	Lactobacillus_plantarum
ASV694	252	Porphyromonas_levii
ASV695	296	Brucella_melitensis
ASV696	361	Lactobacillus_plantarum
ASV697	719	Bacillus_licheniformis
ASV698	391	Porphyromonas_levii
ASV699	174	Lysinibacillus_fusiformis
